q = [
0.005744, 0.012195, 0.025353, 0.052714, 0.107084, 0.221040, 0.460927, 0.958019, 2.007626;
0.005990, 0.012292, 0.024320, 0.050742, 0.106979, 0.219385, 0.458385, 0.957279, 2.084031;
0.005747, 0.011717, 0.024228, 0.055199, 0.104393, 0.219689, 0.462665, 0.969308, 2.068948;
0.006008, 0.013160, 0.025174, 0.052386, 0.106863, 0.219902, 0.455033, 0.972134, 1.987126;
0.005971, 0.012099, 0.025029, 0.051879, 0.106797, 0.222645, 0.462657, 0.958700, 2.024778;
0.005947, 0.012096, 0.025132, 0.052401, 0.107001, 0.218997, 0.456464, 0.954857, 2.047172;
0.005946, 0.012108, 0.025108, 0.052122, 0.107433, 0.223121, 0.454729, 0.972049, 1.994511;
0.005949, 0.013137, 0.025298, 0.052244, 0.107008, 0.219082, 0.454934, 0.952080, 1.988818;
0.005988, 0.012197, 0.025113, 0.052144, 0.116933, 0.219885, 0.454220, 0.951713, 1.998225];

pt2 = [
0.006338, 0.007931, 0.018525, 0.032836, 0.080550, 0.143544, 0.284311, 0.600938, 1.241647;
0.005097, 0.007754, 0.019167, 0.033159, 0.068247, 0.138713, 0.283302, 0.623375, 1.239354;
0.004990, 0.007961, 0.016147, 0.033293, 0.067049, 0.138555, 0.282922, 0.580489, 1.223969;
0.006755, 0.008103, 0.016333, 0.034265, 0.066325, 0.137407, 0.302385, 0.625479, 1.233671;
0.004861, 0.008030, 0.016306, 0.033191, 0.068312, 0.140577, 0.288125, 0.579047, 1.228578;
0.005302, 0.011756, 0.016514, 0.032925, 0.068341, 0.140144, 0.290265, 0.597739, 1.229284;
0.006350, 0.008329, 0.018450, 0.033343, 0.066833, 0.140110, 0.287742, 0.590520, 1.247377;
0.007658, 0.007989, 0.017294, 0.035452, 0.067058, 0.138520, 0.289197, 0.581641, 1.238695;
0.006787, 0.008168, 0.015764, 0.032387, 0.067756, 0.135561, 0.286070, 0.588629, 1.232144;
0.006412, 0.007961, 0.016444, 0.033308, 0.068032, 0.139325, 0.284355, 0.601864, 1.289934;
0.007312, 0.009370, 0.016343, 0.033239, 0.068394, 0.140144, 0.288792, 0.596382, 1.231094;
0.005049, 0.007999, 0.015718, 0.032401, 0.068159, 0.137325, 0.290231, 0.585942, 1.230541;
0.006901, 0.007982, 0.016127, 0.033084, 0.068539, 0.139696, 0.285153, 0.605228, 1.274733;
0.006128, 0.008147, 0.016256, 0.033006, 0.069137, 0.138938, 0.286759, 0.592459, 1.357814;
0.007432, 0.007956, 0.016422, 0.033245, 0.068347, 0.136055, 0.292978, 0.590938, 1.233030;
0.006855, 0.007796, 0.016074, 0.033196, 0.066965, 0.151292, 0.287288, 0.589595, 1.227205;
0.005166, 0.008047, 0.018841, 0.033078, 0.077227, 0.140354, 0.282962, 0.593393, 1.251063;
0.005881, 0.012054, 0.016347, 0.033228, 0.067195, 0.139763, 0.283006, 0.607048, 1.226131;
0.007073, 0.008138, 0.019025, 0.033210, 0.067179, 0.139719, 0.289297, 0.611900, 1.256285;
0.006717, 0.012016, 0.018119, 0.032899, 0.068170, 0.135101, 0.303424, 0.605964, 1.229906;
0.007038, 0.009216, 0.016448, 0.033770, 0.067317, 0.139812, 0.287094, 0.597002, 1.318963;
0.005085, 0.007921, 0.015942, 0.032537, 0.066862, 0.134537, 0.283936, 0.593278, 1.237281;
0.006345, 0.009013, 0.016304, 0.032318, 0.068522, 0.139676, 0.284983, 0.601031, 1.223035;
0.007200, 0.007840, 0.015933, 0.032694, 0.069830, 0.139561, 0.278646, 0.584705, 1.255587;
0.005214, 0.009203, 0.016255, 0.032965, 0.068057, 0.140226, 0.283877, 0.591300, 1.245186;
0.006193, 0.007807, 0.015771, 0.033054, 0.067199, 0.138090, 0.300299, 0.584672, 1.241552;
0.006757, 0.008043, 0.016854, 0.032776, 0.068683, 0.139147, 0.306657, 0.590215, 1.246433;
0.006636, 0.008072, 0.016355, 0.033655, 0.068549, 0.137648, 0.308008, 0.587249, 1.223738;
0.007506, 0.008171, 0.016436, 0.034649, 0.067639, 0.139407, 0.304869, 0.583233, 1.234085;
0.005606, 0.007765, 0.016113, 0.033264, 0.068767, 0.140611, 0.305613, 0.577851, 1.250059;
0.006371, 0.011283, 0.016352, 0.033296, 0.068611, 0.137260, 0.299311, 0.586542, 1.227966;
0.006194, 0.008050, 0.016289, 0.033275, 0.067444, 0.139354, 0.282442, 0.652730, 1.218042;
0.009097, 0.010096, 0.016200, 0.032749, 0.072019, 0.140212, 0.284951, 0.599597, 1.253672;
0.006273, 0.007882, 0.016294, 0.033304, 0.067858, 0.139114, 0.298410, 0.592826, 1.236099;
0.004220, 0.008010, 0.016356, 0.032726, 0.068678, 0.139281, 0.287769, 0.583706, 1.240576;
0.006323, 0.007997, 0.015972, 0.032619, 0.069492, 0.141391, 0.301760, 0.590990, 1.265686;
0.006206, 0.007988, 0.016183, 0.033296, 0.079388, 0.138870, 0.285568, 0.582344, 1.231440;
0.006423, 0.008013, 0.015985, 0.032409, 0.068387, 0.141067, 0.288474, 0.604221, 1.239974;
0.006931, 0.007924, 0.015844, 0.032678, 0.071644, 0.139074, 0.284638, 0.596380, 1.229337;
0.006965, 0.009342, 0.016099, 0.033105, 0.067905, 0.138941, 0.302856, 0.592513, 1.230053;
0.006959, 0.008162, 0.016345, 0.032905, 0.072723, 0.139087, 0.284928, 0.594904, 1.220086;
0.006716, 0.008074, 0.016191, 0.032379, 0.067178, 0.138124, 0.302775, 0.598800, 1.236065;
0.007020, 0.009090, 0.016403, 0.033122, 0.068710, 0.141177, 0.296005, 0.600486, 1.237846;
0.007902, 0.008499, 0.016253, 0.032614, 0.067402, 0.135147, 0.287269, 0.609024, 1.335435;
0.006728, 0.007981, 0.016290, 0.032402, 0.068651, 0.138042, 0.285255, 0.587966, 1.218413;
0.005039, 0.008196, 0.016219, 0.032158, 0.067590, 0.137934, 0.293351, 0.588715, 1.235272;
0.007557, 0.008133, 0.016240, 0.033297, 0.066855, 0.138591, 0.314523, 0.579500, 1.227353;
0.006944, 0.012186, 0.015830, 0.033012, 0.069472, 0.140901, 0.286077, 0.602348, 1.231647;
